id,body,picture,actor,time,class,num_likes,num_shares
0,guns in America...,2.jpg,_aikira_,-20:35:00,lreal,0,0
1,#guns #safety,4.jpg,ancho-n-cayenne,-11:13:00,lreal,0,0
2,#abortion #protest,6.jpg,artisanalways,-0:45:00,lreal,0,0
3,#abortion #bodyautonomy #sanctityoflife,8.jpg,Ataylor,-97:16:00,lreal,0,0
4,immigration at the border,10.jpg,ayoitsayo,-93:00:00,lreal,0,0
5,#ice,12.jpg,B.Mike,-76:04:00,lreal,0,0
6,#energyoptions,14.jpg,bblueberryy,-73:17:00,lreal,0,0
7,#climate,16.jpg,BeardedMatt,-71:20:00,lreal,0,0
8,gender diversity in sports ,18.jpg,BossmanRy,-56:45:00,lreal,0,0
9,#police,20.jpg,breathe_in,-28:44:00,lreal,0,0
10,affirmative action in the college admissions,22.jpg,breethebaker,-22:40:00,lreal,0,0
11,covid vaccines,24.jpg,casssssssssie,-19:20:00,lreal,0,0
12,RFK jr congressional hearing,26.jpg,cavsforever,-97:55:00,lreal,0,0
13,#science #publichealth,28.jpg,coachmatthews,-96:00:00,lreal,0,0
14,Israel-Palestine war,30.jpg,csmbx1,-94:40:00,lreal,0,0
15,Israel-Palestine war protest,32.jpg,difrad,-91:20:00,lreal,0,0
16,#Ukraine #War,34.jpg,DonDonDonna,-72:20:00,lreal,0,0
17,political violence in the US,36.jpg,earthpulse,-78:45:00,lreal,0,0
18,#USrallies #trangenderrights,38.jpg,EmmaSmith0214,-0:59:00,lreal,0,0
19,#tradetalks #tarriffs,40.jpg,fgonzalez,-61:25:00,lreal,0,0
20,#madeinAmerica? #globaltrade?,42.jpg,fusionfeast,-44:34:00,lreal,0,0
21,diversity in education,44.jpg,gwenfromtheblock,-40:00:00,lreal,0,0
22,US healthcare cost & access,46.jpg,hockeymom101,-24:30:00,lreal,0,0
23,national guard deployment in D.C.,48.jpg,HP743,-20:41:00,lreal,0,0
24,is diversity in the military make it strong or weak?,50.jpg,jackrussellmom,-1:40:00,lreal,0,0
25,is #scotus an objective institution or a collection of ideological judicial activists?,52.jpg,jake_turk,-98:45:00,lreal,0,0
26,speech on campus,54.jpg,Jcole9,-75:39:00,lreal,0,0
27,US colleges and universities #highered,56.jpg,jiruletheworld,-71:55:00,lreal,0,0
29,#Iran war,58.jpg,john73,-33:04:00,lreal,0,0
31,#Iran war,60.jpg,JuniperQ,-90:08:00,lreal,0,0
35,guns in America...,2.jpg,_aikira_,-20:35:00,lAI,0,0
36,#guns #safety,4.jpg,ancho-n-cayenne,-11:13:00,lAI,0,0
37,#abortion #protest,6.jpg,artisanalways,-0:45:00,lAI,0,0
38,#abortion #bodyautonomy #sanctityoflife,8.jpg,Ataylor,-97:16:00,lAI,0,0
39,immigration at the border,10.jpg,ayoitsayo,-93:00:00,lAI,0,0
40,#ice,12.jpg,B.Mike,-76:04:00,lAI,0,0
41,#energyoptions,14.jpg,bblueberryy,-73:17:00,lAI,0,0
42,#climate,16.jpg,BeardedMatt,-71:20:00,lAI,0,0
43,gender diversity in sports ,18.jpg,BossmanRy,-56:45:00,lAI,0,0
44,#police,20.jpg,breathe_in,-28:44:00,lAI,0,0
45,affirmative action in the college admissions,22.jpg,breethebaker,-22:40:00,lAI,0,0
46,covid vaccines,24.jpg,casssssssssie,-19:20:00,lAI,0,0
47,RFK jr congressional hearing,26.jpg,cavsforever,-97:55:00,lAI,0,0
48,#science #publichealth,28.jpg,coachmatthews,-96:00:00,lAI,0,0
49,Israel-Palestine war,30.jpg,csmbx1,-94:40:00,lAI,0,0
50,Israel-Palestine war protest,32.jpg,difrad,-91:20:00,lAI,0,0
51,#Ukraine #War,34.jpg,DonDonDonna,-72:20:00,lAI,0,0
52,political violence in the US,36.jpg,earthpulse,-78:45:00,lAI,0,0
53,#USrallies #trangenderrights,38.jpg,EmmaSmith0214,-0:59:00,lAI,0,0
54,#tradetalks #tarriffs,40.jpg,fgonzalez,-61:25:00,lAI,0,0
55,#madeinAmerica? #globaltrade?,42.jpg,fusionfeast,-44:34:00,lAI,0,0
56,diversity in education,44.jpg,gwenfromtheblock,-40:00:00,lAI,0,0
57,US healthcare cost & access,46.jpg,hockeymom101,-24:30:00,lAI,0,0
58,national guard deployment in D.C.,48.jpg,HP743,-20:41:00,lAI,0,0
59,is diversity in the military make it strong or weak?,50.jpg,jackrussellmom,-1:40:00,lAI,0,0
60,is #scotus an objective institution or a collection of ideological judicial activists?,52.jpg,jake_turk,-98:45:00,lAI,0,0
61,speech on campus,54.jpg,Jcole9,-75:39:00,lAI,0,0
62,US colleges and universities #highered,56.jpg,jiruletheworld,-71:55:00,lAI,0,0
63,#Iran war,58.jpg,john73,-71:55:01,lAI,0,0
64,#Iran war,60.jpg,JuniperQ,-71:55:02,lAI,0,0
